Asset,Total Count
lords,283.0506918
coinmerge-os,1562331742
paybolt,102932893
marutaro,944781.1104
shinji-inu,1.24E+20
verasity,18.57937602
oneledger,1060140.254
invectai,75408482.74
kittenfinance,1242.771868
exnetwork-token,850
fsw-token,300
amaterasu-omikami,369
meta-ruffy,37310812.53
bancor,0.002
raiden-network-token,0.0038
storj,5.012
radio-caca,14189.34741
blockchain-cuties-universe-governance,93810.46137
polker,211519979.8
wrapped-bitcoin,24.4998082
axl-inu,1747556083
cellframe,151.170771
freela,5902664.08
alpha-quark-token,147.0896957
coinwind,389168.7752
kelvpn,1040269.726
small-doge,1.98E+11
stackos,41898975.44
nusd,5.30E-11
spacey-2025,1225149.051
zeniq,11.64494567
cryptoart-ai,294301.2298
mixmarvel,18759782.09
every-game,114
shadows,1240660.859
tokenize-xchange,0.00010476
tradestars,3258087.418
flux-protocol,810137.2682
openocean,21324391.54
spherium,1000
paxos-standard-token,11.14558049
fei-usd,6.72E-10
metis-token,13024.53753
delta-exchange-token,98155.2506
crowns,316133.3616
dovu,3760212.366
rio-defi,1670371.54
rai-finance,169485.8444
lever-network,944732.0288
cybervein,2029126.108
tribe-2,54289.59511
torum,9206063.135
witch-token,78877.65364
falcon-token,400
blind-boxes,102145.8918
renbtc,1.00E-05
acent,45
blockbank,30091.95371
cook,128043210
upcx,1
jasmycoin,115.9133872
kishu-inu,2.21E+11
jackbot,9000000
oax,900
open-platform,267.4968
experty-wisdom-token,103.6422797
sentinel-protocol,135120.75
nft-protocol,200
boba-network,14656.5901
atari,150
american-shiba,8.20E+13
tax-haven-inu,5.19E+19
shih-tzu,1.25E+14
studentcoin,11686.44716
uni-boost-weth-0xbc6d37be25b06471d9e094dbb800c1d006e5a9ed,0.70352942
luffy-inu,1082113
goku,1.86E+12
mongoose,5.58E+20
bobs-repair,2407.889
shibaken-finance,7.78E+12
luckyinu,3.58E+11
eden2,100
messi-coin,42208.37026
old-bitcoin,2514.061986
uni-shibdoge-weth-0x3016a43b482d0480460f6625115bd372fe90c6bf,121314264.9
gemini-dollar,20
baby-doge-coin,11455451064
funfi,40000000
floki-inu,647153.366
