Asset,Total Count,Total Value (USD)
ethlend,151.1847893,0
every-game,114,0.01
exnetwork-token,850,32.95
experty-wisdom-token,103.6422797,0.68
fair-berc20,100,0.3
falcon-nine,1646.706875,2.91
falcon-token,400,0
feg-token,4.12E+11,0
feg-token,9.67E+11,0
fei-usd,6.72E-10,0
finance-vote,192462.685,104.51
floki-inu,647153.366,134.51
flux-protocol,810137.2682,19560.89
force-protocol,4,0.13
force-protocol,2,0.06
force-protocol,1,0.03
forever-shiba,5406024.813,61.41
frax-share,0.4444445,2.96
freedom-coin,49757243.14,13.93
freela,5902664.08,1210.87
freqai,34312461.43,936.04
friends,20,0
friends,20,0
friends,20,0
front-row,1,0
fsw-token,300,3.25
funfair,1100.95518,6.78
funfair,1100.95518,6.78
funfair,1100.95518,6.78
funfi,40000000,0
gala,4465,257.77
gameswap-org,10,6.72
gamma-strategies,3.18E-15,0
gemini-dollar,1.12,1.12
gemini-dollar,20,20
get-protocol,1.971,7.77
get-protocol,2710.63,10679.88
get-protocol,1.971,7.77
givewell-inu,2628357.847,0
global-social-chain,20,0.03
global-trust-coin,3287,2070.04
global-trust-coin,3287,2070.04
gnosis-gno,0.335401643,107.85
goku,1.86E+12,0
gsenetwork,601,0.04
gsenetwork,76,0
gsenetwork,364,0.02
gsenetwork,1054,0.06
gyoza,74937,162.54
haki-token,0.04014389,0.6
haki-token,1,14.9
harvest-finance,14.82758249,691.41
harvest-finance,0.0011778,0.05
hashflow,15236667.33,6188159.12
havoc,84198606.79,60.62
havven,2.34197369,9.49
havven,0.000279523,0
hex,101.614,0.19
hex,10075.53408,19.06
hikari-protocol,227723.8593,607.4
hillstone,1,0.37
hitchain,181,0
hokkaido-inu,76202356794,0
holo,33439.53305,100.14
holo,31515.11165,94.38
holo,949647.4972,2843.98
hoppy-token,4.22E+11,0
hoppy-token,4.22E+11,0
huobi-pool-token,485650.512,63.51
husd,4.80E-07,0
idexo-token,0.826498727,0.01
iht-real-estate-protocol,1.15E-08,0
iht-real-estate-protocol,1.15E-08,0
imgnai,23858.82724,690.79
index-cooperative,3.22515039,16.06
insula,100,11.25
insula,100,11.25
interest-bearing-eth,1.00E-18,0
invectai,75408482.74,2992.21
iotex,4148.599074,273.26
iotex,4148.599074,273.26
iotex,4148.599074,273.26
jackbot,6000000,42.36
jackbot,9000000,63.54
jasmycoin,115.9133872,2.22
jasmycoin,27580,528.69
jasmycoin,115.9133872,2.22
jiyuu,92.46816865,1.13
jizzrocket,252594.0441,0.36
jpeg-d,4.62E-12,0
kanagawa-nami,250000,302.66
kanagawa-nami,250000,302.66
keep-network,18891027.69,4045796.95
kelvpn,1040269.726,11596.01
kiba-inu,220226116.7,720.14
kimchi-finance,2282599973,36316.17
kin,16679.99262,0.34
kin,21098733074,430414.15
kishimoto,2694383096,4688.23
