Asset,Total Count,Total Value (USD)
magic,870.7168385,837.0183554
magicaltux,21666.66111,33.10947484
magic-internet-money,14.85711362,14.61859752
magic-internet-money,1000,983.946
magpie,203.9997139,21.30226212
mai-arbitrum,1.47461358,0.881276263
mai-optimism,28.48264896,10.95186335
maker,0.00084722,3.031213654
marvin-inu,3429071881,3909.141944
math,0.079545576,0.015057182
matic-network,0.03,0.026825316
matic-network,371.2333685,331.9484103
matic-network,870.9826898,778.8128541
matic-network,0.21,0.18777721
matic-network,2200.7128,1967.827188
matic-network,18691.28444,16713.3202
maw,157.3518019,0.001729296
mayfair,19.26071715,0.159339483
mcdex,8.988511854,98.60397504
mdex-bsc,5.09E-09,3.57E-10
mdex-bsc,5.09E-09,3.57E-10
medieus,0.25,0.00598985
medieus,0.25,0.00598985
medieus,0.75,0.01796955
megaweapon,99.2911766,84.64701884
meta,0.000103432,3.15E-06
metavault-dao,0.070103722,0.386972545
milady-meme-coin,14617495.51,2.777324147
milo-inu,702107998,21.06323994
mind-games-cortex,0.004149817,5.25E-05
mind-matrix,17.84827866,0
mind-matrix,36.1601943,0
minerva-money,6.19E-16,5.89E-17
mizar,3830.216516,2.799543554
mobox,6.908792576,2.989800714
modular-wallet,456.4139129,1.495641008
monopoly-layer2-duo,76.19287265,1.125302441
moon,8.33011524,2.500392381
moonpot-finance,100000,107.591
mother-of-memes,500000000,0
mozaic,10797.7476,449.2191253
mpendle,10.90109413,41.20613581
multivac,300,0.534123
multivac,100,0.178041
multivac,500,0.890205
mummy-finance,0.22736127,0.176133365
mycelium,389.7909502,0.712530061
my-metatrader,90.67215654,3.15598223
nbl,1234.486206,0.221664343
neptune-mutual,2422.352043,85.36407357
neutra-finance,59.59212222,10.67384297
neuy,100,2.994975
neuy,100,2.994975
nftblackmarket,769.2854658,0
nftearth,0.298276228,0
nfty-token,770.0547494,1.586736314
ngt,0.374742379,0.000238625
nitro-cartel,242.6806813,1.375732514
nitroshiba,3792.293713,0.016686092
noisegpt,2231.290649,125.7733913
nola,24137.78902,46.32258953
numa,34.5363836,16.79058815
nusd,917.2763482,908.957569
o3-swap,21.08813772,0.89134729
oath,375.9476207,9.546197326
olympus,11.31405356,138.9365777
omniaverse,404,0.3851332
omnicat,346751.5281,224.646445
onering,1.343419912,0.010544892
open-dollar-governance,1.686305578,3.912228941
openleverage,0.035284934,0.002458195
openxswap,30.30246237,1.103768101
optimism,1080.799412,3404.518148
optimism,800.47863,2521.507685
optimism,3.638771253,11.46212945
opulous,5.332617148,1.430453219
opx-finance,19.62437236,2.1683754
orbs,5.11E-05,2.06E-06
oreoswap,0.000804352,6.78E-06
osaka-protocol,7136548.719,2.069599129
outer-ring,300000,423.54
overnight-dai,0.000282212,0.000282494
overnight-finance,1.51E-07,1.20E-05
pacoca,1,0.00096697
pancakeswap-token,1.67E-09,6.63E-09
