JSON File,Asset,Total Count,Total Value (USD)
filter_operateBlocknumber.json,data-exchange,76396210.87,2353.77
filter_operateBlocknumber.json,decentraland,142.7624578,1951.95
filter_const-address.json,,0,0.45
filter_reentrancy.json,decentraland,80.05068023,0.45
filter_constBlocknumber.json,decentraland,1.00E-18,0.45
filter_const-address.json,decentraland,144.6656583,0
filter_constant-chainID.json,decentraland,1.263335084,12800
filter_reentrancy.json,decentral-art,523967196.8,0.09
filter_operateBlocknumber.json,decentralized-vulnerability-platform,1100,23.36
filter_constant-chainID.json,defil,36598.68976,59161.01
filter_const-address.json,defi-robot,451550.9371,147.77
filter_const-address.json,dejitaru-tsuka,77223.8195,23.7
filter_operateBlocknumber.json,dejitaru-tsuka,400,16793063.7
filter_reentrancy.json,dejitaru-tsuka,76823.8195,0
filter_reentrancy.json,delta-exchange-token,98155.2506,0
filter_constant-chainID.json,dent,271.134355,638.07
filter_reentrancy.json,dent,271.134355,0
filter_operateBlocknumber.json,dent,271.134355,0
filter_const-address.json,,0,0.62
filter_const-address.json,,0,1.3
filter_const-address.json,dforce-token,0.022859718,0
filter_operateBlocknumber.json,die-protocol,1.60E+11,6
filter_constant-chainID.json,digix-gold-token,0.001988496,9.52
filter_operateBlocknumber.json,digix-gold-token,0.509148944,3.95
filter_operateBlocknumber.json,dione,4805969.724,9760
filter_operateBlocknumber.json,district0x,310.5191793,0.09
filter_reentrancy.json,district0x,220000310.5,0
filter_constant-chainID.json,district0x,1935.938,0.04
filter_operateBlocknumber.json,,0,0.09
filter_reentrancy.json,dogegf,725261.6393,123.75
filter_const-address.json,dogegf,725261.6393,0
filter_reentrancy.json,dovu,3760212.366,0
filter_constant-chainID.json,dprating,0.251,0
filter_const-address.json,,0,212.13
filter_reentrancy.json,dprating,0.251,1505.58
filter_constant-chainID.json,dragonchain,11.92369379,212.13
filter_reentrancy.json,dragonchain,25.06146345,0
filter_operateBlocknumber.json,duckdaodime,1.00E-18,0
filter_operateBlocknumber.json,echelon-prime,0.291262136,69321.58
filter_reentrancy.json,eden2,100,534862.69
filter_const-address.json,,0,2734796.3
filter_constant-chainID.json,edgeless,735,890985.06
filter_operateBlocknumber.json,eggs,9.76E+11,313670.23
filter_operateBlocknumber.json,electrifyasia,80.9394701,12876557.43
filter_constBlocknumber.json,electrifyasia,1.504634295,10244028.38
filter_reentrancy.json,electrifyasia,202.20765,2824.93
filter_constant-chainID.json,electrifyasia,202.20765,0
filter_operateBlocknumber.json,endlesswebworlds,99800000,0
filter_reentrancy.json,enigma,1.80E-07,0
filter_operateBlocknumber.json,enigma,1.70E-07,0
filter_constant-chainID.json,enigma,1.80E-07,0.01
filter_constant-chainID.json,enjin-coin,492.0097617,32.95
filter_operateBlocknumber.json,enjin-coin,3492.009762,0.68
filter_reentrancy.json,enjin-coin,492.0097617,0.3
filter_reentrancy.json,etherdoge,2.03E+15,2.91
filter_constant-chainID.json,etherdoge,2.03E+15,0
filter_operateBlocknumber.json,ethereans,19309.63157,0
filter_reentrancy.json,ethereum,3160.482556,0
filter_constBlocknumber.json,ethereum,96.77338279,0
filter_const-address.json,ethereum,843.738,104.51
filter_constant-chainID.json,ethereum,274.8862692,134.51
filter_operateBlocknumber.json,ethereum,3972.669115,19560.89
filter_const-address.json,ethereum,165.0155717,0.13
filter_operateBlocknumber.json,ethereum-push-notification-service,11164.11712,0.06
filter_operateBlocknumber.json,ethlend,135.3574776,0.03
filter_reentrancy.json,ethlend,151.1847893,61.41
filter_const-address.json,ethlend,0.002311658,2.96
filter_constant-chainID.json,ethlend,151.1824776,13.93
filter_reentrancy.json,every-game,114,1210.87
filter_reentrancy.json,exnetwork-token,850,936.04
filter_reentrancy.json,experty-wisdom-token,103.6422797,0
filter_reentrancy.json,fair-berc20,100,0
filter_reentrancy.json,falcon-nine,1646.706875,0
filter_reentrancy.json,falcon-token,400,0
filter_const-address.json,feg-token,4.12E+11,3.25
filter_reentrancy.json,feg-token,9.67E+11,6.78
filter_reentrancy.json,fei-usd,6.72E-10,6.78
filter_operateBlocknumber.json,finance-vote,192462.685,6.78
filter_const-address.json,,0,0
filter_reentrancy.json,floki-inu,647153.366,257.77
filter_reentrancy.json,flux-protocol,810137.2682,6.72
filter_constBlocknumber.json,force-protocol,2,0
filter_constant-chainID.json,force-protocol,4,1.12
filter_operateBlocknumber.json,force-protocol,1,20
filter_operateBlocknumber.json,forever-shiba,5406024.813,7.77
filter_operateBlocknumber.json,frax-share,0.4444445,10679.88
filter_constant-chainID.json,freedom-coin,49757243.14,7.77
filter_reentrancy.json,freela,5902664.08,0
filter_operateBlocknumber.json,freqai,34312461.43,0.03
filter_reentrancy.json,friends,20,2070.04
filter_const-address.json,,0,2070.04
filter_constant-chainID.json,friends,20,107.85
filter_operateBlocknumber.json,friends,20,0
filter_const-address.json,,0,0.04
filter_operateBlocknumber.json,front-row,1,0
filter_reentrancy.json,fsw-token,300,0.02
filter_constant-chainID.json,funfair,1100.95518,0.06
filter_operateBlocknumber.json,funfair,1100.95518,162.54
filter_reentrancy.json,funfair,1100.95518,0.6
filter_reentrancy.json,funfi,40000000,14.9
filter_operateBlocknumber.json,gala,4465,691.41
filter_constant-chainID.json,gameswap-org,10,0.05
filter_operateBlocknumber.json,gamma-strategies,3.18E-15,6188159.12
filter_constant-chainID.json,gemini-dollar,1.12,60.62
filter_reentrancy.json,gemini-dollar,20,9.49
filter_constant-chainID.json,get-protocol,1.971,0
filter_const-address.json,,0,0.19
filter_reentrancy.json,get-protocol,1.971,19.06
filter_operateBlocknumber.json,get-protocol,2710.63,607.4
filter_const-address.json,givewell-inu,2628357.847,0.37
filter_operateBlocknumber.json,global-social-chain,20,0
filter_reentrancy.json,,0,0
filter_constant-chainID.json,global-trust-coin,3287,100.14
filter_reentrancy.json,global-trust-coin,3287,94.38
filter_operateBlocknumber.json,gnosis-gno,0.335401643,2843.98
filter_reentrancy.json,goku,1.86E+12,0
filter_constBlocknumber.json,gsenetwork,76,0
filter_constant-chainID.json,gsenetwork,601,63.51
filter_operateBlocknumber.json,gsenetwork,364,0
filter_reentrancy.json,gsenetwork,1054,0.01
filter_reentrancy.json,gyoza,74937,0
filter_operateBlocknumber.json,haki-token,1,0
filter_const-address.json,haki-token,0.04014389,690.79
filter_operateBlocknumber.json,harvest-finance,14.82758249,16.06
filter_reentrancy.json,harvest-finance,0.0011778,11.25
filter_constant-chainID.json,hashflow,15236667.33,11.25
filter_const-address.json,havoc,84198606.79,0
filter_const-address.json,havven,2.34197369,2992.21
filter_reentrancy.json,havven,0.000279523,273.26
filter_operateBlocknumber.json,hex,101.614,273.26
filter_reentrancy.json,hex,10075.53408,273.26
filter_const-address.json,hikari-protocol,227723.8593,42.36
filter_constant-chainID.json,hillstone,1,63.54
filter_operateBlocknumber.json,hitchain,181,2.22
filter_const-address.json,,0,528.69
filter_reentrancy.json,hokkaido-inu,76202356794,2.22
filter_operateBlocknumber.json,holo,31515.11165,1.13
filter_constant-chainID.json,holo,33439.53305,0.36
filter_reentrancy.json,holo,949647.4972,0
filter_const-address.json,hoppy-token,4.22E+11,302.66
filter_reentrancy.json,hoppy-token,4.22E+11,302.66
filter_operateBlocknumber.json,huobi-pool-token,485650.512,4045796.95
filter_operateBlocknumber.json,husd,4.80E-07,11596.01
filter_constant-chainID.json,idexo-token,0.826498727,720.14
filter_const-address.json,,0,36316.17
filter_reentrancy.json,iht-real-estate-protocol,1.15E-08,0.34
filter_constant-chainID.json,iht-real-estate-protocol,1.15E-08,430414.15
filter_reentrancy.json,imgnai,23858.82724,4688.23
filter_constant-chainID.json,index-cooperative,3.22515039,0
filter_const-address.json,,0,0
filter_reentrancy.json,insula,100,21624.23
filter_operateBlocknumber.json,,0,28.6
filter_constant-chainID.json,insula,100,943.53
filter_const-address.json,interest-bearing-eth,1.00E-18,1485.49
filter_reentrancy.json,invectai,75408482.74,1485.49
filter_constant-chainID.json,iotex,4148.599074,98.18
filter_reentrancy.json,iotex,4148.599074,8.12
filter_operateBlocknumber.json,iotex,4148.599074,0
filter_const-address.json,jackbot,6000000,50.53
filter_reentrancy.json,jackbot,9000000,3846.37
filter_constant-chainID.json,jasmycoin,27580,0
filter_const-address.json,jasmycoin,115.9133872,0
filter_reentrancy.json,jasmycoin,115.9133872,0
filter_operateBlocknumber.json,jiyuu,92.46816865,125.26
filter_operateBlocknumber.json,jizzrocket,252594.0441,792
filter_operateBlocknumber.json,jpeg-d,4.62E-12,86.45
filter_reentrancy.json,kanagawa-nami,250000,86.45
filter_const-address.json,,0,115199.82
