Asset,Total Count
linear,5.37E-08
alpaca-finance,4.07E-09
mdex-bsc,5.09E-09
tokocrypto,7.53E-10
auto,3.29E-12
alpha-finance,3.65E-09
ellipsis,6.60E-09
yes-world,63
venus,5.00E-10
bakerytoken,1.46E-09
bitlocus,624.820389
pegaxy-stone,1
vigorus,1412.351901
floki-inu,1385378.138
vbswap,1.00E-12
loser-coin,500
xen-crypto-bsc,1000000
wrapped-avax,0.037060962
tether-avalanche-bridged-usdt-e,0.900092
rare-fnd,19.97585437
bsc-station,500
the-sandbox,0.053318635
shih-tzu,8.75E+14
neuy,100
curve-fi-usdc-usdt,5689.44725
shiba-inu,364050
matic-network,870.9826898
binance-coin,10.07338861
ethereum,0.18099396
bridge-oracle,1.706700706
shambala,1014471.584
adadao,0.0001
multivac,300
rimaunangis,1.5
juggernaut,0.1
weth,2.453595239
angry-birds,0.443422
lumishare,2
sushi,0.249165374
aavegotchi,0.2870786
frax,0.302658038
qi-dao,3.557775992
pigcoin-2,519.47
freedom-coin,8716
cipher-2,100
avalanche-2,5.424276603
elvishmagic,1
woonkly-power,8
outer-ring,300000
binance-bridged-usdt-bnb-smart-chain,537.2208836
1inch,7.43
bot-planet,9.996
binance-peg-avalanche,0.00877732
shiba-inu,93968.31234
binance-peg-litecoin,0.03889185
dodo,7.88
binance-peg-bitcoin-cash,0.001
luckybird,0.28
zilliqa,9.89074218
uniswap,0.2
binance-peg-busd,4.599037176
bitlocus,344.032602
aave-usdc,500.013842
medieus,0.25
shibaken-finance,2.38E+12
baby-shiba-inu,76579846.52
swtcoin,40078.1
binance-bridged-usdc-bnb-smart-chain,233.67794
liquidus,1.89026606
wall-street-games,500000
usd-coin,3
space-token-bsc,18.30865017
spacey-2025,0.65
vbswap,1.00E-12
voxies,0.000160134
polka-city,17640
binance-coin,0.165644031
matic-network,0.21
avalanche-2,0.42
zoo-token,1501252953
ethereum,0.703083239
nftblackmarket,769.2854658
binance-coin,29.26634986
matic-network,2200.7128
darkshield,443368.88
binance-bridged-usdt-bnb-smart-chain,2268.717331
binance-bridged-usdc-bnb-smart-chain,1.486406221
polygon-bridged-usdt-polygon,147.32693
avalanche-2,3.077248469
skyplay,100
arbitrum-bridged-usdt-arbitrum,23.190015
clucoin,1352040487
white-rhinoceros,1000
kiba-inu,125525018
dmail-network,8.1926
binance-peg-busd,1380.383668
nfty-token,770.0547494
ix-token,4779.753061
bonfire,624019611.8
pancakeswap-token,0.007450735
pacoca,1
liquidus,60736.1397
weth,0.23715799
angry-birds,0.389624
medieus,0.25
dinoswap,93.907
swtcoin,20000
biswap,0.5
aavegotchi,0.135796076
chainlink,0.017692066
stader-maticx,0.253237542
bitrise-token,43366400
spacey-2025,0.65
vbswap,1.00E-12
ethermon,53766.25406
swingby,500000
moonpot-finance,100000
army-of-fortune-metaverse,500
arbitrum,499.481
optimism,800.47863
magic-internet-money,1000
upfire,0.0012
cookies-protocol,100
water-2,10
voxies,0.001146864
omniaverse,404
yooshi,91009753.67
freedom-coin,7505012.114
multivac,100
wall-street-games,500000
core,1000
anyswap,1
megaweapon,99.2911766
doggy,20293.8
mother-of-memes,500000000
binance-coin,108.9760723
matic-network,18691.28444
wbnb,0.0035
vbswap,8.00E-12
weth,1.860042349
mobox,6.908792576
dpex,200
sheesha-finance-polygon,100
polydoge,2222
inftspace,500000
avalanche-2,29.73295075
bridged-usdc-polygon-pos-bridge,10.99
binance-peg-cardano,7.926651138
binance-bridged-usdt-bnb-smart-chain,16018.01795
catecoin,143610762.7
binance-peg-busd,1717.714796
ai-trader,200000
baby-shiba-inu,9186936019
multivac,500
usd-coin-ethereum-bridged,2515
yooshi,109113970.7
freedom-coin,7506703.114
ethereum,0.437856538
skyplay,100
coinscope,2
angry-birds,0.476181
lumishare,2
1inch,7.43
bot-planet,9.996
binance-peg-avalanche,0.00877732
shiba-inu,469755.2073
binance-peg-litecoin,0.03889185
dodo,7.880000002
bridge-oracle,1.4341683
binance-peg-bitcoin-cash,0.001
luckybird,0.17
zilliqa,9.89074218
uniswap,2.303528906
medieus,0.75
pigcoin-2,165.52
arable-protocol,40.03548219
elonxaidogemessi69pepeinu,696969.697
pepe-ai,12345.54321
swtcoin,20000
ruby-play-network,600
geodnet,1.00E-08
yes-world,63.1448096
eng-crypto,51
legend-of-fantasy-war,8.596399886
water-2,10
radio-caca,109042.1566
pancakeswap-token,2.734434916
linear,5.37E-08
alpaca-finance,4.07E-09
mdex-bsc,5.09E-09
tokocrypto,0.710000001
auto,3.29E-12
alpha-finance,3.65E-09
ellipsis,6.60E-09
venus,5.00E-10
bakerytoken,1.46E-09
leopard,74803073076
bitrise-token,43366400
cloutcontracts,10
optimism,3.638771253
x-akamaru-inu,48.23257695
hudi,1.00E-18
floki-inu,1385378.138
shambala,101524802.1
pump-it-up,36.1601943
mind-matrix,36.1601943
aiswap,36.1601943
codai,36.1601943
wall-street-games,1500000
quick,0.00010005
binance-peg-polkadot,0.035
binance-bridged-usdc-bnb-smart-chain,1.35
sheesha-finance,0.00089895
rare-fnd,19.97585437
arbitrum-bridged-usdt-arbitrum,1000
floki-rocket,680456.1834
poken,424.8206998
wagyuswap,4.701018849
american-shiba,120217730.3
baby-doge-coin,2.99E+11
anyswap,2
bsc-station,500
shih-tzu,8.75E+14
ariva,50000
core,1000
neuy,100
realfinance-network,100
feg-token-bsc,30971083058
wifedoge,2.43E+12
ethereum-meta,4109352913
binance-peg-xrp,234.9868857
binance-bitcoin,7.16E-05
zignaly,33
bnbtiger,1000000
milo-inu,702107998
vita-inu,453034481
doggy,861.10084
